,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2018-09-12,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,,Satisfactory,Satisfactory,Moderate,,,Satisfactory,,,,,,,,
2018-09-13,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-14,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-15,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,,Moderate,Good,,Moderate,Satisfactory,Satisfactory,,,Moderate,,,,,,,,
2018-09-16,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,,Moderate,Good,,Satisfactory,Satisfactory,,,,Moderate,,,,,,,,
2018-09-17,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,,Satisfactory,Good,,Satisfactory,Good,,,,Moderate,,,,,,,,
2018-09-18,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Very Poor,Satisfactory,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,Moderate,,,,,,,,
2018-09-19,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,Moderate,,,,,,,,
2018-09-20,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Very Poor,Moderate,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-21,Severe,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,,Moderate,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-22,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,,Good,Satisfactory,,,,,,,,
