Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur,Thiruvananthapuram
12-09-2018,7.44,4.94,10.31,3.94,5.67,24.67,10.89,5.86
13-09-2018,8.27,5.26,11.24,3.62,6,27.39,10.91,6.73
14-09-2018,7.55,5.34,11.21,4.18,7.04,18.57,11.19,6.44
15-09-2018,7.46,6.92,11.74,3.95,6.77,25.01,9.41,7.36
16-09-2018,8.26,6.42,11.14,3.82,7.78,27.72,8.59,7.35
17-09-2018,7.87,10.04,11.12,4.08,8.41,25.47,9.07,6.45
18-09-2018,7.24,11.07,11.95,5.05,6.81,27.02,9.87,6.07
19-09-2018,7.82,7.27,13.43,4.77,6.9,25.54,15.17,5.56
20-09-2018,7.22,8.13,14.41,4.36,7.14,27.3,11.49,5.05
21-09-2018,6.83,6.23,12.74,3.75,8.39,24.72,10.81,5.15
22-09-2018,7.24,5.06,11.11,3.39,6.23,24,11.13,5.45
23-09-2018,7.1,5.8,11.59,3.36,6.13,28.55,12.14,5.68
24-09-2018,6.7,5.68,11.08,4.44,5.85,25.44,10.45,5.26
25-09-2018,6.79,6.98,10.88,5.61,6.42,24.64,10.11,5.71
26-09-2018,6.76,6.47,11.59,4,8.2,30.77,8.09,6.39
27-09-2018,6.59,5.66,12.78,4.47,6.93,28.75,9.04,5.6
28-09-2018,6.14,7.46,12.98,4.75,7.03,28.69,11.1,5.42
29-09-2018,6.06,6.62,13.08,4.61,7.08,24.1,9.96,5.54
30-09-2018,5.67,7.98,12.38,5.15,9.16,26.73,10.08,5.25
01-10-2018,6.59,7.23,12.7,5.46,7.78,25.87,11.04,4.94
02-10-2018,6.36,7.93,12.25,4.94,5.89,24.49,14.15,4.85
03-10-2018,6.27,7.96,13.36,4.99,5.74,22.79,12.57,5.22
04-10-2018,6.52,17.2,14.42,4.93,5.14,22.34,9.8,5.37
05-10-2018,6.96,27.34,17.27,5.1,6.26,22.3,10.32,4.93
06-10-2018,6.52,24.43,13.42,6.17,8.43,27.58,10.31,5.57
07-10-2018,6.73,9.43,14.33,5.93,6.99,25.22,9.94,3.92
08-10-2018,6.84,10.98,16.13,6.38,9.45,27.25,10.18,5.68
09-10-2018,6.89,9.66,19.67,6.41,17.26,27.01,11.77,5.59
10-10-2018,6.48,11.67,16.55,6.66,13.82,27.51,16.05,6.49
11-10-2018,6.55,7.72,14.54,7.08,14.89,25.25,9.12,5.53
12-10-2018,6.53,6.41,16.06,6.55,13.5,26.52,8.56,5.73
13-10-2018,6.35,6.21,17.91,6.39,10.8,28.37,11.57,5.31
14-10-2018,6.28,8.16,16.07,5.69,9.08,26.71,11.12,6.65
15-10-2018,6.36,7.04,17.96,6.72,9.14,26.54,14.45,6.64
16-10-2018,6.52,7.54,19.19,7,4.76,26.05,13.89,5.55
17-10-2018,6.56,8.69,17.13,8.04,4.21,28.72,11.8,5.91
18-10-2018,6.45,6.33,18.46,6.08,3.64,37.04,13.06,5.69
