Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Amritsar,Jaipur,Thiruvananthapuram
11-04-2018,24.34,18.65,32.33,49.9,31.01,12.96,17.12,4.58,30.38,9.67
12-04-2018,26.2,17.92,40.94,33.17,42.54,12.38,18.24,237.27,25.04,9.08
13-04-2018,25.44,23.73,54.68,37.3,33.9,17.19,18.93,25.06,39.4,14.89
14-04-2018,22,20.28,59.41,41.55,30.02,44.83,20.76,22.42,36.24,10.86
15-04-2018,16.94,18.36,67.79,54,31.86,26.93,18.12,21.13,35.9,11.68
16-04-2018,19.09,20.35,76.17,59.66,45.36,17.9,18.46,16.37,40.43,12.86
17-04-2018,27.27,21.92,57.84,59.62,38.79,12.72,16.45,16.99,35.93,14.32
18-04-2018,30.93,21.77,40.44,36.82,35.18,11.83,53.93166667,4.89,37.14,18.95
19-04-2018,27.36,23.87,51.78,39.18,44.05,10.9,91.41333333,9.02,45.78,12.49
20-04-2018,32.2,23.67,40.56,59.83,44.88,7.72,128.895,9.46,38.54,14.91
21-04-2018,37.81,24.81,30.99,33.34,51.13,7.16,166.3766667,8.67,30.55,14.21
22-04-2018,19.6,20.92,31.63,27.16,39.3,9.21,203.8583333,8.81,34.2,11.86
23-04-2018,19.98,21.53,39.43,33.33,28.02,10.82,241.34,8.82,33.55,13.39
24-04-2018,29.87,23.98,57.07,50.62,35.48,14.17,123.27,8.64,48.53,9.46
25-04-2018,53.65,22.21,82.47,75.06,29.59,60.37,5.2,9.24,60.46,12.39
26-04-2018,24.84,26.2,78.5,58.11,35.66,72.06,2.45,8.67,49.13,12.32
27-04-2018,20.7,31.66,49.86,54.16,35.85,80.46,4.04,9.99,53.92,14.31
28-04-2018,21.73,33.17,36.11,62.8,30.66,72,5.573333333,10.58,44.65,14.79
29-04-2018,28.96,31.66,42.57,59.94,30.99,58.32,7.106666667,10.58,32.45,11.89
30-04-2018,25.4,40.82,46.42,53.32,39.52,67.75,8.64,10.64,34.49,11.71
