Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Jaipur,Thiruvananthapuram
12-05-2018,3.38,13.16,45.32,7.61,2.75,5.52,17.19,8.78,11.51,2.89
13-05-2018,3.42,12.47,17.22,5.83,2.78,4.55,20.66,7.45,10.18,3.04
14-05-2018,5.95,12.41,13.4,8.23,2.42,4.46,11.32,13.96,7.27,3.05
15-05-2018,7.74,12.47,13.34,11.67,2.67,17.56,11.86,16.73,8.56,2.92
16-05-2018,5.28,12.09,16.47,10.22,1.84,13.34,15.13,14.68,17.05,3.08
17-05-2018,3.42,12.01,17.3,5.37,5.47,10.77,15.53,11.45,16.53,3.27
18-05-2018,13.78,11.75,27.74,9.8,4.13,6.5,14.49,10.87,15.45,3.2
19-05-2018,17.64,11.53,49.67,9.16,4.4,5.23,18.36,9.32,2.87,3.16
20-05-2018,3.31,11.39,20.35,7.45,2.41,4.47,15.85,5.59,3.14,3.55
21-05-2018,8.66,14.31,14.16,7.38,1.95,5.3,11.2,9.79,2.77,3.73
22-05-2018,5.24,19.02,28.41,12.47,1.61,4.51,14.3,10,6.78,3.37
23-05-2018,7.04,14.7,53.83,11.44,2.07,4.39,8.88,7.66,11.54,2.97
24-05-2018,6.35,13.85,37.09,10.13,4.43,4.06,8.81,10.64,7.43,2.84
25-05-2018,7.52,13.53,42.75,11.88,2.82,14.76,9.33,7.05,19.24,3.1
26-05-2018,13.58,12.09,41.7,34.37,4.09,11.45,15.37,4.89,20.06,2.88
27-05-2018,11.87,12.51,31.92,9,3.38,8.82,28.59,6.27,11.96,2.94
28-05-2018,6.2,11.02,29.36,7.21,2.96,10.96,10.41,10.74,9.79,3
29-05-2018,6.37,10.46,41.22,6.01,3.27,14.97,13.06,6.3,5.46,3.08
30-05-2018,6.7,10.59,13.19,7.4,2.56,14.82,13.93,3.26,6.79,3.1
31-05-2018,7.15,10.48,14.54,23.26,2.85,13.04,14.85,2.87,6.56,2.8
01-06-2018,8.89,12.76,8.65,14.15,2.92,12.89,14.69,6,8.39,2.85
02-06-2018,10.58,12.53,12.65,4.47,3.79,16.3,14.59,7.32,9.98,3.1
03-06-2018,7.51,11.43,16.93,4.28,3.42,12.6,14.69,10.15,8.63,3.15
04-06-2018,8.65,10.96,14.32,4.28,5.15,17.27,15.56,2.96,9.96,2.79
05-06-2018,8.03,10.19,9.58,4.19,3.15,19.86,17.08,6.22,7.9,2.97
06-06-2018,7.8,12.65,8.99,2.42,2.43,18.77,18.53,6.1,7.62,3.24
07-06-2018,9.77,10.59,10.21,2.18,2.91,18.31,19.39,3.91,7.76,2.73
08-06-2018,9.94,9.76,9.8,2.03,2.41,15.72,6.81,5.8,8.39,3.22
09-06-2018,9.68,9.17,10.94,2.66,2.78,10.66,7.18,7.13,9.29,3.19
10-06-2018,13.55,9.29,16.94,2.15,3.39,7.73,7.77,7.43,7.87,3.19
11-06-2018,10.26,11.21,11.9,3.91,4.49,9.16,7.7,7.83,9.69,3.06
12-06-2018,9.05,9.65,11.06,9.31,6.62,6.68,9.86,21.41,8.37,3.01
13-06-2018,10.17,14.28,11.58,7.3,2.88,6.53,11.62,9.51,15.57,3.08
14-06-2018,10.85,10.84,11.75,14.51,3.06,3.33,11.49,8.86,10.17,3.18
15-06-2018,9.95,8.69,12.05,8.67,2.8,29.96,12.73,7.4,9.22,3.21
16-06-2018,9.44,10.37,10.15,8.39,2.23,3.39,13.41,6.21,8.87,3.12
17-06-2018,9.08,13.14,8.45,8.86,2.72,1.64,12.55,4.693333333,9.16,3.25
18-06-2018,9.51,11.84,11.44,9.8,2.58,1.65,11.13,3.176666667,8.83,3.06
19-06-2018,8.27,8.25,10.85,10.13,1.97,15.64,10.59,1.66,9.93,2.99
20-06-2018,8.31,14.47,13.82,9.45,2.55,13.87,10.58,1.79,12.89,3.03
21-06-2018,7.76,8.04,11.17,9.48,1.76,13.56,9.65,1.39,8.07,3.04
22-06-2018,10.67,7.82,23.62,10.78,2.2,9.04,8.62,1.7,9.58,3.05
23-06-2018,9.93,9.42,17.78,9.97,2.75,17.27,8.46,1.42,7.66,3.12
24-06-2018,7.93,7.89,10.39,9.34,3.05,9.13,8.55,1.34,7.91,3.1
25-06-2018,6.93,7.9,10.81,9.58,2.77,6.9,8.69,1.08,8.35,3.15
26-06-2018,5.69,7.61,8.89,9.84,3.95,4.48,8.71,2.4,8.16,3.24
27-06-2018,4.95,7.73,9.03,9.33,4.42,24.63,8.39,2.63,11.58,3.26
28-06-2018,6.3,7.63,8.68,9.56,4.19,16.81,8.58,1.92,11.04,3.53
29-06-2018,10.26,7.87,10.99,11.46,3.48,24.65,8.44,1.9,9.06,3.04
30-06-2018,32.78,7.25,10.42,11.5,6.27,16.5,8.55,1.56,9.31,3.1
01-07-2018,24.59,7.1,10.82,19.68,3.41,16.5,8.49,1.51,10.68,3.26
02-07-2018,28.13,7.32,7.87,17.1,3.82,16.48,8.58,1.43,11.21,3.1
03-07-2018,23.02,7.04,11.74,13.47,3.42,9.39,8.59,2.42,11.13,3.11
04-07-2018,17.71,7.05,8.01,12.11,3.7,10.65,8.75,2.81,11.12,3.16
05-07-2018,17.18,9.19,13.52,12.14,4.16,15.75,8.53,2.81,10.92,2.94
06-07-2018,17.06,10.65,16.15,11.9,4.7,15.66,8.42,11.52,9.99,3.02
07-07-2018,13.94,15.47,8.99,11.28,4.4,17.46,8.68,12.11,8.19,3.13
08-07-2018,13.04,8.65,14.86,12.03,4.05,17.83,8.46,9.85,9.04,3.17
09-07-2018,20.04,6.89,9.06,11.42,4.05,24.99,8.39,9.08,9.41,3.28
10-07-2018,19.76,7.12,7.74,9.6,4.15,24.65,8.51,10.04,10.13,3.1
11-07-2018,17.69,6.95,8.76,10.77,4.55,29.43,8.62,22.42,10.65,2.81
12-07-2018,15.33,7.26,10.21,11.61,4.73,23.78,8.59,19.44,10.16,2.99
13-07-2018,12.73,11.07,12.27,11.78,4.5,26.13,8.56,14.49,10.53,3.02
