Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
21-04-2019,69.39,219.06,59.67,99.17,28.21
22-04-2019,92.48,255.31,61.15,132.85,41.85
23-04-2019,77.31,277.28,83.12,159.44,28.42
24-04-2019,85.7,262.58,81.6,147.99,40.08
25-04-2019,109.49,274.39,98.68,183.88,44.12
26-04-2019,109.42,244.21,116.45,226.52,53.12
27-04-2019,123.11,301.82,134.45,135.05,59.62
28-04-2019,117.36,285.73,112.97,158.98,59.02
29-04-2019,108.27,274.83,98.53,156.09,56.52
30-04-2019,94.01,284.13,101.79,140.33,49.07
01-05-2019,74.84,323.97,111.66,160.14,49.94
02-05-2019,102.47,282.83,141.06,186.04,87.96
03-05-2019,95.06,149.1,146.83,127.27,103.25
04-05-2019,116.59,196.87,123.19,102.97,100.42
05-05-2019,110.84,249.97,126.81,123.61,97.18
06-05-2019,106.65,295.84,135.12,138.44,110.95
07-05-2019,87.52,378.89,152.18,190.08,88.32
08-05-2019,81.91,415.23,152.96,253.87,67.7
09-05-2019,94.86,414.7,139.1,249.34,64.57
10-05-2019,93.68,320.44,139.05,116.66,56.44
11-05-2019,93.84,289.05,136.64,126.72,54.42
12-05-2019,93.08,503.28,95.62,263.62,48.58
13-05-2019,86.2,351.28,108.46,109.65,44.81
14-05-2019,88.8,124.28,105.12,104.64,44.75
15-05-2019,81.23,191.04,110.8,345.65,45.92
16-05-2019,93.74,218.38,102.17,272.87,58.16
17-05-2019,91.59,316.4,123.1,288.94,65.88
18-05-2019,118.1,106.51,144.54,72.58,55.7
19-05-2019,101.63,162.83,158.9,89.54,46.85
20-05-2019,105.55,218.72,124.74,105.8,62.22
21-05-2019,93.68,194.58,114.83,113.58,72.77
22-05-2019,84.74,201.27,94.33,95.82,64.09
23-05-2019,97.98,230,111.01,92.55,51.78
24-05-2019,75.5,117.66,92.55,111.48,31.31
25-05-2019,71.31,118.65,128.82,84.22,29.58
26-05-2019,49.25,136.58,144.06,98.64,34.61
27-05-2019,59.78,172.68,124.03,120.86,52.68
28-05-2019,84.93,183.77,128.79,88.86,77.25
29-05-2019,62.28,202.75,148.7,110.77,76.55
30-05-2019,77.36,246.05,120.31,113.74,78.76
31-05-2019,60.85,337.77,107.63,129.06,49.86
01-06-2019,64.19,298.35,95.7,126.37,54.8
02-06-2019,64.72,219.79,127.37,135.33,35.77
03-06-2019,42.09,300.7,71.14,179.22,37.15
04-06-2019,61.65,171.58,54.95,231.37,29.82
05-06-2019,56.09,208.72,92.7,212.32,27.21
06-06-2019,51.53,236.45,104.77,132.26,45.83
07-06-2019,56.96,152.39,68.55,165,33.76
08-06-2019,53.47,187.62,65.33,111.22,25.46
09-06-2019,39.84,265.12,67.58,106.15,24.78
10-06-2019,25.87,233.49,54.49,148.37,23.83
11-06-2019,30.88,487.77,38.63,112.71,27.86
12-06-2019,35.87,240.88,31.33,86.77,31.9
13-06-2019,38.15,189.69,28.99,54.96,35.93
14-06-2019,47.2,188.21,40.79,91.31,39.96
15-06-2019,54.09,274.68,62.18,98.75,43.99
16-06-2019,56.08,160.96,61.02,83.67,48.03
17-06-2019,64.03,137.08,73.19,99.1,52.06
18-06-2019,64.96,84.53,62.52,93.21,56.09
19-06-2019,60.88,223.08,63.26,40.69,47.92
20-06-2019,53.32,130.88,56.2,63.58,22.78
21-06-2019,56.61,188.16,64.68,106.02,29.696
22-06-2019,45.48,177.16,40.82,133.44,36.612
23-06-2019,36.43,126.12,48.17,98.69,43.528
24-06-2019,44.9,85.68,48.67,63.19,50.444
25-06-2019,76.25,119.98,52.03,94.08,57.36
26-06-2019,61.12,155.9,38.92,86.19,55.51
27-06-2019,65.51,230.98,25.11,278.62,50.75
28-06-2019,85.13,239.15,21.02,126.7,45.05
29-06-2019,81.98,271.27,24.02,92.83,46.9
30-06-2019,63.53,270.03,35.16,113.38,40.2
01-07-2019,70.15,189.32,38.86,95.18,36.12
02-07-2019,62.01,233.25,29.98,109.13,43.52
03-07-2019,60.9,113.92,45.27,90.87,34.86
04-07-2019,60.19,87.8,38.88,66.84,27.34
05-07-2019,57.46,99.98,33.26,72.35,38.57
06-07-2019,51.06,87.5,38.56,60.06,49.52
07-07-2019,68.71,91.79,37.91,63.56,28.95
08-07-2019,55.7,148.79,44.22,106.73,26.17
09-07-2019,46.87,128.6,34.76,102.12,26.83
10-07-2019,50.35,278.71,31.67,129.19,33.66
11-07-2019,61.32,352.26,39.46,113.69,49.88
12-07-2019,62.33,363.7,39.59,98.81,50.61
13-07-2019,57.91,294.27,34.14,95.25,37.18
14-07-2019,51.48,280.99,42.52,91.76,27.74
15-07-2019,47.39,137.67,40.84,110.12,26.98
16-07-2019,46.99,79.22,72.98,117.34,29.01
17-07-2019,55,67.73,61.44,99.4,29.39
18-07-2019,62.36,78.08,83.02,76.34,21.07
19-07-2019,37.85,158.3,73.21,64.03,17.91
20-07-2019,42.66,117.84,38.84,78.8,21.05
21-07-2019,41.46,105.55,36.16,88.64,16.86
