Date,Bengaluru,Delhi,Hyderabad
2016-07-15,15.33,38.79,
2016-07-16,14.03,40.89,
2016-07-17,12.73,33.83,
2016-07-18,15.8,51.53,
2016-07-19,18.58,55.76,
2016-07-20,14.64,31.06,
2016-07-21,11.35,32.92,
2016-07-22,17.94,37.84,
2016-07-23,13.175,35.77,
2016-07-24,8.41,38.44,
2016-07-25,8.36,45.77,
2016-07-26,10.29,48.6,
2016-07-27,15.69,42.48,
2016-07-28,15.8,40.28,
2016-07-29,10.82,41.18,
2016-07-30,13.48,36.4,
2016-07-31,21.24,37.62,
2016-08-01,2.09,35.28,
2016-08-02,0.15,34.99,
2016-08-03,0.68,32.14,
2016-08-04,0.33,32.45,
2016-08-05,,32.81,
2016-08-06,,32.22,
2016-08-07,,28.89,
2016-08-08,,29.3,
2016-08-09,,27.23,12.11
2016-08-10,,29.55,12.28
2016-08-11,40.48,24.79,11.83
2016-08-12,40.88,23.83,
2016-08-13,40.67,31.35,
2016-08-14,40.59,32.09,
2016-08-15,40.86,27.89,
2016-08-16,40.69,26.6,
2016-08-17,40.91,25.64,
2016-08-18,40.66,30.91,
2016-08-19,40.69,28.14,
2016-08-20,40.31,26.51,
2016-08-21,40.82,23.44,
2016-08-22,40.19,23.44,
2016-08-23,40.51,26.3,
2016-08-24,40.31,22.95,
2016-08-25,41.23,30.36,
2016-08-26,40.74,39.87,
2016-08-27,40.27,35.71,
2016-08-28,39.99,31.55,
2016-08-29,40.64,29.89,
2016-08-30,40.42,29.36,
2016-08-31,40.41,28.42,
2016-09-01,40.49,23.08,53.08
2016-09-02,40.36,26.32,31.07
2016-09-03,40.4,23.2,15.31
2016-09-04,40.42,22.02,44.05
2016-09-05,40.48,19.68,53.1
2016-09-06,40.36,19.05,36.24
2016-09-07,40.83,18.99,32.48
2016-09-08,40.73,20.58,27.66
2016-09-09,72.77,21.51,27.06
2016-09-10,104.81,21.07,22.62
2016-09-11,43.84,20.4,26.24
2016-09-12,43.545,21.52,16.75
2016-09-13,43.25,25.79,19.98
2016-09-14,43.42,23.03,12.34
2016-09-15,39.83,28.2,15.62
2016-09-16,13.14,27.03,38.51
2016-09-17,5.14,29.48,49.99
2016-09-18,14.97,29.26,29.78
2016-09-19,24.8,34.17,9.57
2016-09-20,30.77,28.66,6.56
2016-09-21,55.78,29.75,16.51
2016-09-22,35.92,27.78,9.41
2016-09-23,120.07,29.48,28.86
2016-09-24,84.68,30.1,6.4
2016-09-25,67.135,27.69,31.24
2016-09-26,49.59,32.26,32.74
2016-09-27,38.935,29.98,18.67
2016-09-28,28.28,40.17,12.5
2016-09-29,36.38,37.22,16.89
2016-09-30,55.12,32.18,11.83
2016-10-01,55.14,40.08,25.01
2016-10-02,55.23,35.58,19.43
2016-10-03,55.31999999999999,43.92,17.95
2016-10-04,55.41,50.14,9.0
2016-10-05,56.1,46.47,12.28
2016-10-06,55.42,54.59,14.01
2016-10-07,55.17,47.26,10.52
2016-10-08,38.9,42.99,11.07
2016-10-09,15.05,43.55,11.22
2016-10-10,15.09,39.72,14.1
2016-10-11,15.11,36.52,14.735
2016-10-12,15.12,31.55,15.37
2016-10-13,15.12,27.85,21.18
2016-10-14,15.13,29.54,31.36
2016-10-15,15.02,34.74,27.21
2016-10-16,14.735,34.88,31.41
2016-10-17,14.45,37.11,28.7
2016-10-18,14.91,39.9,26.25
2016-10-19,15.025,39.26,29.97
2016-10-20,15.14,44.98,29.1
2016-10-21,19.99,46.41,39.49
2016-10-22,39.56,47.03,53.38
2016-10-23,24.4,44.08,54.55
2016-10-24,23.24,37.79,34.59
2016-10-25,33.13,38.89,30.24
2016-10-26,40.67,48.82,47.92
2016-10-27,37.52,58.75,45.17
2016-10-28,34.9,64.34,39.85
2016-10-29,35.3,79.24,42.24
2016-10-30,41.04,89.56,27.36
2016-10-31,38.42,95.27,26.1
2016-11-01,37.58,91.77,24.59
2016-11-02,36.28,111.69,21.5
2016-11-03,37.76,104.84,20.77
2016-11-04,36.05,88.02,9.27
2016-11-05,28.78,89.1,12.51
2016-11-06,27.28,96.22,13.96
2016-11-07,29.92,72.81,22.83
2016-11-08,29.57,55.65,25.37
2016-11-09,28.86,58.89,24.24
2016-11-10,27.67,73.93,36.33
2016-11-11,29.6,88.96,33.77
2016-11-12,30.49,81.99,39.06
2016-11-13,39.82,67.76,30.06
2016-11-14,31.52,49.95,31.45
2016-11-15,14.03,59.24,27.89
2016-11-16,24.15,53.33,31.12
2016-11-17,34.63,41.1,33.57
2016-11-18,24.55,43.06,29.05
2016-11-19,24.89,55.83,36.62
2016-11-20,27.955,80.15,33.56
2016-11-21,31.02,81.94,38.92
2016-11-22,39.39,63.32,38.16
2016-11-23,39.88,48.28,37.16
2016-11-24,19.16,55.54,30.2
2016-11-25,17.7,28.84,23.54
2016-11-26,17.32,25.22,5.08
2016-11-27,17.2,26.73,3.64
2016-11-28,27.25,28.3,4.08
2016-11-29,27.55,64.54,16.48
2016-11-30,26.58,84.51,41.11
2016-12-01,27.97,79.35,31.73
2016-12-02,30.0,77.5,35.72
2016-12-03,37.49,51.11,23.13
2016-12-04,28.44,68.69,21.32
2016-12-05,29.23,27.41,28.38
2016-12-06,27.6,56.8,27.81
2016-12-07,26.04,49.99,28.78
2016-12-08,26.6,36.31,31.26
2016-12-09,24.42,40.93,17.46
2016-12-10,24.0,34.4,24.41
2016-12-11,32.37,29.59,34.77
2016-12-12,28.36,50.66,26.45
2016-12-13,37.1,40.75,30.9
2016-12-14,25.14,39.57,19.33
2016-12-15,27.42,32.77,26.91
2016-12-16,36.2,42.38,27.7
2016-12-17,23.44,52.64,31.24
2016-12-18,28.81,61.3,36.11
2016-12-19,20.01,61.04,31.03
2016-12-20,18.42,45.61,34.35
2016-12-21,16.41,40.01,29.32
2016-12-22,17.54,50.67,42.78
2016-12-23,17.39,90.37,26.75
2016-12-24,18.3,99.22,31.14
2016-12-25,17.31,61.98,19.36
2016-12-26,17.08,51.87,36.57
2016-12-27,16.9,47.88,34.58
2016-12-28,17.07,60.4,35.44
2016-12-29,16.91,88.44,24.76
2016-12-30,17.46,54.58,25.35
2016-12-31,17.59,52.53,18.5
2017-01-01,17.605,55.92,15.38
2017-01-02,17.62,66.57,24.87
2017-01-03,19.41,58.97,18.06
2017-01-04,24.85,68.53,26.16
2017-01-05,25.09,61.04,36.67
2017-01-06,24.47,58.18,23.85
2017-01-07,25.17,36.9,16.18
2017-01-08,25.52,29.21,15.23
2017-01-09,24.41,36.32,13.47
2017-01-10,24.92,28.52,11.94
2017-01-11,25.29,31.36,19.45
2017-01-12,26.47,43.41,30.92
2017-01-13,26.04,45.76,26.15
2017-01-14,24.76,36.49,20.75
2017-01-15,23.31,24.33,17.64
2017-01-16,23.82,39.47,19.03
2017-01-17,23.88,33.13,17.53
2017-01-18,22.76,31.97,14.66
2017-01-19,23.03,25.48,14.4
2017-01-20,24.05,31.55,15.32
2017-01-21,23.84,19.27,18.0
2017-01-22,23.035,24.1,15.71
2017-01-23,22.23,33.51,20.72
2017-01-24,23.95,56.08,19.98
2017-01-25,23.3,69.27,18.46
2017-01-26,24.99,48.42,14.62
2017-01-27,27.95,31.84,15.15
2017-01-28,26.906666666666663,28.3,18.29
2017-01-29,25.863333333333333,28.3,28.21
2017-01-30,24.82,40.53,25.86
2017-01-31,24.8,54.92,17.73
2017-02-01,23.83,46.63,16.81
2017-02-02,22.26,60.67,16.25
2017-02-03,22.29,62.33,16.49
2017-02-04,22.38,57.26,17.59
2017-02-05,20.54,40.73,18.65
2017-02-06,21.39,46.21,17.5
2017-02-07,20.74,28.73,26.73
2017-02-08,20.2,31.42,22.71
2017-02-09,21.68,39.7,19.35
2017-02-10,20.99,47.34,15.93
2017-02-11,21.44,55.54,13.23
2017-02-12,22.83,95.27,12.49
2017-02-13,23.08,51.62,16.5
2017-02-14,28.08,50.31,18.65
2017-02-15,24.68,54.38,17.52
2017-02-16,23.65,55.87,22.99
2017-02-17,22.85,53.4,26.52
2017-02-18,22.95,62.34,27.44
2017-02-19,22.5,75.4,31.66
2017-02-20,22.25,83.01,39.69
2017-02-21,21.94,66.01,22.19
2017-02-22,21.67,58.5,30.84
2017-02-23,22.22,38.51,29.77
2017-02-24,21.92,29.63,41.8
2017-02-25,22.93,34.4,47.49
