Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2016-01-05,36.94,18.99,131.4,47.95,34.37,19.96
2016-01-06,45.98,24.3,135.04,64.96,35.03,14.900000000000002
2016-01-07,23.19,17.02,186.07,77.59,42.99,9.84
2016-01-08,8.59,19.24,150.8,45.41,47.4,1.6
2016-01-09,10.66,14.33,100.54,41.17,46.2,1.54
2016-01-10,14.39,17.26,130.02,51.24,62.68,9.26
2016-01-11,19.51,23.03,140.72,38.63,51.86,16.98
2016-01-12,21.45,20.26,131.63,36.95,49.16,8.56
2016-01-13,24.48,19.69,95.93,42.9,53.34,8.440000000000001
2016-01-14,22.94,30.64,97.98,38.05,69.54,8.32
2016-01-15,25.71,29.13,81.66,34.72,68.31,11.67
2016-01-16,22.72,40.45,67.4,30.67,74.69,12.4
2016-01-17,17.73,32.4,78.01,37.2,74.38,11.22
2016-01-18,20.92,33.07,107.94,36.08,74.51,3.52
2016-01-19,23.09,28.81,104.61,17.32,39.71,6.173333333333334
2016-01-20,17.64,33.98,100.12,30.12,19.6,8.826666666666668
2016-01-21,20.57,33.05,91.52,25.12,37.85,11.48
2016-01-22,22.0,21.75,136.52,46.69,50.35,3.95
2016-01-23,11.02,34.52,147.56,21.28,48.7,13.38
2016-01-24,15.4,57.19,132.54,28.9,44.51,1.23
2016-01-25,18.12,34.98,103.53,39.7,42.29,16.45
2016-01-26,26.95,30.61,139.27,47.57,50.63,4.05
2016-01-27,17.6,32.57,142.54,45.31,28.75,
2016-01-28,17.21,26.99,151.6,44.62,0.1,
2016-01-29,26.32,22.2,175.04,47.42,21.78,
2016-01-30,23.31,22.59,157.74,39.27,20.34,
2016-01-31,23.3,30.36,75.74,38.06,0.1,
2016-02-01,17.17,21.67,90.99,37.27,0.1,
2016-02-02,15.86,26.83,94.8,52.05,0.1,25.7
2016-02-03,25.77,22.93,95.15,71.66,0.1,27.26
2016-02-04,28.21,26.09,85.13,59.45,5.79,23.45
2016-02-05,31.13,28.65,121.22,64.32,35.46,16.66
2016-02-06,32.4,20.8,149.67,64.37,45.37,0.57
2016-02-07,37.66,20.9,95.23,54.25,45.44,7.0600000000000005
2016-02-08,31.18,22.66,74.61,38.88,37.8,13.55
2016-02-09,35.63,24.37,106.92,54.66,40.99,3.57
2016-02-10,49.77,25.94,129.76,62.94,46.72,24.32
2016-02-11,58.94,28.54,93.1,51.53,51.08,15.12
2016-02-12,67.3,29.62,117.2,50.12,49.34,18.56
2016-02-13,63.27,22.99,101.47,45.07,50.96,1.67
2016-02-14,57.1,19.11,89.22,56.83,38.25,23.25333333333333
2016-02-15,37.83,17.51,93.47,55.8,33.34,44.83666666666666
2016-02-16,31.32,19.19,95.46,58.94,24.56,66.42
2016-02-17,25.02,31.74,89.38,57.27,35.93,44.46333333333334
2016-02-18,29.33,27.19,90.48,65.02,28.3,22.50666666666667
2016-02-19,42.53,38.48,108.89,54.73,25.76,0.55
2016-02-20,36.37,59.12,84.64,46.03,31.91,6.047499999999999
2016-02-21,49.63,54.63,73.2,46.49,37.36,11.544999999999998
2016-02-22,38.32,55.5,75.96,66.08,38.86,17.042499999999997
2016-02-23,42.23,40.72,95.32,69.74,43.44,22.54
2016-02-24,59.43,52.03,200.41,53.88,41.45,20.69
2016-02-25,64.9,50.4,97.56,70.73,43.55,25.59
2016-02-26,37.26,28.91,115.84,59.13,26.1,28.19
2016-02-27,30.33,17.04,117.3,44.25,24.43,18.82
2016-02-28,29.08,31.71,130.99,57.22,22.35,24.09
2016-02-29,39.28,41.56,137.57,56.33,27.62,18.51
2016-03-01,37.68,39.73,138.3,70.0,33.92,24.8
2016-03-02,31.99,41.66,157.07,88.12,39.26,29.09
2016-03-03,49.42,39.99,113.89,60.42,45.55,25.18
2016-03-04,42.21,42.39,103.88,54.17,44.08,32.19
2016-03-05,38.54,48.38,84.88,62.8,47.03,31.77
2016-03-06,49.65,55.16,81.26,52.64,40.23,31.35
2016-03-07,45.07,47.29,82.97,51.56,40.82,30.93
2016-03-08,49.67,46.66,61.83,54.03,38.46,28.46
2016-03-09,38.62,40.93,66.4,73.34,41.84,21.86
2016-03-10,35.52,18.31,92.04,82.64,32.62,0.8
2016-03-11,40.0,15.38,36.99,75.53,36.32,7.941666666666666
2016-03-12,58.17,17.59,31.91,47.69,38.78,15.083333333333332
2016-03-13,68.09,21.32,66.25,55.61,47.36,22.225
2016-03-14,77.42,23.41,55.08,48.82,46.51,29.366666666666664
2016-03-15,47.78,21.72,77.88,41.68,25.95,36.50833333333333
2016-03-16,98.66,24.71,48.58,57.35,30.63,43.65
2016-03-17,39.82,20.46,73.05,59.75,28.15,37.98
2016-03-18,35.81,19.61,70.45,54.79,55.67,30.51
2016-03-19,33.32,18.18,56.49,46.87,45.44,
2016-03-20,45.045,24.29,97.74,55.92,36.69,
2016-03-21,56.77,22.18,65.16,67.82,28.03,
2016-03-22,43.14,28.48,70.69,74.48,45.66,
2016-03-23,49.68,20.14,84.89,92.24,42.17,
2016-03-24,46.87,20.81,169.36,95.29,53.31,
2016-03-25,55.02,21.8,142.38,78.65,52.35,46.85
2016-03-26,57.03,23.17,66.2,68.96,49.85,17.07
2016-03-27,89.88,33.42,66.87,60.39,62.11,30.98
2016-03-28,48.81,30.0,77.27,65.46,55.42,26.13
2016-03-29,40.43,19.84,67.87,76.87,50.93,43.79
2016-03-30,35.06,19.58,47.01,87.97,46.22,27.58
2016-03-31,44.42,22.65,62.15,75.08,42.02,24.63
2016-04-01,38.74,19.22,29.69,69.45,47.76,29.48
2016-04-02,34.73,19.93,29.38,79.62,50.64,26.68
2016-04-03,34.38,20.87,69.66,76.31,54.71,31.53
2016-04-04,26.66,19.9,63.44,53.42,50.46,17.55
2016-04-05,29.98,21.71,28.8,50.74,47.1,34.73
2016-04-06,43.57,24.49,37.04,59.81,43.43,33.38
2016-04-07,67.46,23.19,32.33,49.26,45.28,31.06
2016-04-08,58.76,15.53,34.75,59.67,47.55,33.45
2016-04-09,53.57,31.04,47.93,68.46,35.94,36.16
2016-04-10,62.4,42.09,31.6,69.38,40.03,39.34
2016-04-11,58.82,44.35,61.02,78.2,44.25,34.36
2016-04-12,74.34,37.1,58.47,85.92,41.0,41.77
2016-04-13,60.73,48.46,58.74,83.56,40.31,34.96
2016-04-14,109.97,59.44,75.75,74.93,42.49,32.53
2016-04-15,76.46,45.28,85.91,64.14,50.46,27.98
2016-04-16,67.25,29.27,35.97,75.74,48.14,17.46
2016-04-17,77.75,32.01,66.77,53.57,40.9,17.69
2016-04-18,49.33,26.98,81.29,32.06,27.96,25.27
2016-04-19,50.77,25.79,98.35,52.02,26.39,25.94
2016-04-20,62.54,23.39,97.22,68.63,29.12,29.75
