Date,DL002,DL031,KA009
2016-04-21,35.49,16.36,22.65
2016-04-22,31.89,22.87,26.41
2016-04-23,28.29,25.42,27.43
2016-04-24,24.69,25.86,20.86
2016-04-25,34.98,21.98,25.49
2016-04-26,61.61,26.07,24.94
2016-04-27,88.48,34.91,19.65
2016-04-28,73.03,33.7,18.06
2016-04-29,48.1,27.5,17.12
2016-04-30,58.2025,29.135,17.48
2016-05-01,68.305,30.77,16.11
2016-05-02,78.40750000000001,32.404999999999994,19.71
2016-05-03,88.51,34.04,20.1
2016-05-04,73.97,64.69,16.71
2016-05-05,64.96,50.51,17.66
2016-05-06,45.72,36.63,16.79
2016-05-07,59.79,42.49,17.82
2016-05-08,61.54,53.44,16.68
2016-05-09,70.54,63.39,16.5
2016-05-10,54.92,45.39,16.75
2016-05-11,89.76,47.92,16.13
2016-05-12,113.55,66.52,19.08
2016-05-13,104.14,40.71,23.06
2016-05-14,94.12,38.17,22.026666666666667
2016-05-15,98.51,43.59,20.993333333333336
2016-05-16,58.69,30.69,19.96
2016-05-17,56.58,26.72,11.28
2016-05-18,49.67,24.99,36.19
2016-05-19,85.71,44.45,7.22
2016-05-20,76.74,59.98,7.84
2016-05-21,67.43,54.66,8.66
2016-05-22,,42.12,9.56
2016-05-23,,41.42,9.71
2016-05-24,,37.61,10.37
2016-05-25,,53.91,24.05
2016-05-26,,47.16,21.54
2016-05-27,,41.27,21.52
2016-05-28,,27.45,21.36
2016-05-29,,30.5,17.98
2016-05-30,61.99,40.34,30.8
2016-05-31,66.69,46.48,56.94
2016-06-01,45.32,35.74,75.14
2016-06-02,55.1,30.6,29.71
2016-06-03,74.91,37.34,
2016-06-04,71.81,49.2,
2016-06-05,89.26,49.64,
2016-06-06,44.09,39.14,
2016-06-07,40.92,33.36,
2016-06-08,39.91,27.86,
2016-06-09,45.7,29.0,
2016-06-10,36.8,26.4,
2016-06-11,57.16,27.04,
2016-06-12,49.87,27.89,
2016-06-13,51.23,28.66,
2016-06-14,54.11,28.29,
2016-06-15,71.28,33.7,
2016-06-16,51.22,30.52,
2016-06-17,50.91,20.95,38.77
2016-06-18,52.67,47.31,34.41
2016-06-19,79.2,34.54,31.78
2016-06-20,48.78,33.31,37.12
2016-06-21,43.53,45.93,36.79
2016-06-22,42.03,27.29,32.55
2016-06-23,35.87,26.71,32.35
2016-06-24,45.7,31.5,30.59
